,,,,,,,,,,,,,,,,,,,,,,
Asset ID,Asset Name,Category,Brand/Model,Serial / IMEI,Acquisition Date,Acquisition Method (Purchase / Owner Contribution),Original Currency (NGN / USD),Original Cost (Oscar),OM Cost,Proposed/Sold COST(#),Depreciated Value,Depreciated by,Date Added to Oscarmini,Month Count,,Useful Life (Months),Net Book Value (NGN),Status,Disposal Date,Disposal Proceeds,Notes,For Sale
OM-AS-0067,Rod Pod Mic,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0068,Rod Pod Mic,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0069,Rod Pod Mic,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0070,Rod Pod Mic,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0071,Dell U2720 Monitor,Monitors & Displays,,,,,700,"₦900,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0072,Dell U2720 Monitor,Monitors & Displays,,,,,700,"₦900,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0073,DJI RS4 Pro Gimbal,Gimbals & Sliders,,,6/1/2024,,1099,"₦1,700,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0074,"Mi 34"" Gaming Monitor",Monitors & Displays,,,,,400,"₦600,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0075,,,,,,,,,,,#N/A,#N/A,11/1/2025,3,,,,Active,,,,
OM-AS-0076,Manfrotto Tripod Stand,Studio Accessories,,,,,,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0077,Manfrotto Tripod Stand,Studio Accessories,,,,,,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0078,Manfrotto Tripod Stand,Studio Accessories,,,,,,"₦150,000.00",,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0079,JIEPAI JP-V12 Tripod,Studio Accessories,,,,,,"₦600,000.00",,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0080,Carbon Fibre Tripod,Studio Accessories,,,,,500,"₦800,000.00",,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0081,,,,,,,,,,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0082,,,,,,,,,,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0083,,,,,,,,,,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0084,,,,,,,,,,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0085,,,,,,,,,,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0086,,,,,,,,,,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0087,,,,,,,,,,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0088,,,,,,,,,,,,₦0.00,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,11/1/2025,3,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,Active,,,,
